,fsq_id,categories,name,rating,bikestation_id
10482,5c6f3cc2c03635002c74c211,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Sing Sing Beer Bar,7.8,07b13214cb69f2ec007d888450f3d6bc
10483,4b2d26b8f964a5208ecf24e3,"[{'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}]",Dutch Wooden Shoe Cafe,7.6,07b13214cb69f2ec007d888450f3d6bc
10484,4aa6f149f964a520914b20e3,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Bean Around the World,7.8,07b13214cb69f2ec007d888450f3d6bc
10485,50982adee4b0cb1b3389815d,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Sushi California,7.3,07b13214cb69f2ec007d888450f3d6bc
10486,516e091ce4b06d9610062b46,"[{'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}, {'id': 13347, 'name': 'Tapas Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tapas_', 'suffix': '.png'}}]",Burdock & Co,7.6,07b13214cb69f2ec007d888450f3d6bc
10487,4aa82a04f964a520be4f20e3,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",Gene Coffeebar,7.7,07b13214cb69f2ec007d888450f3d6bc
10488,4acd77a2f964a52025cc20e3,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Our Town Cafe,7.6,07b13214cb69f2ec007d888450f3d6bc
10489,4b342ac8f964a520b92525e3,"[{'id': 13099, 'name': 'Chinese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",Dynasty Seafood Restaurant 皇朝海鮮酒家,7.6,07b13214cb69f2ec007d888450f3d6bc
10490,5bcacf35364d97002cae03a0,"[{'id': 13306, 'name': 'Taco Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/taco_', 'suffix': '.png'}}]",Tacofino Ocho,7.5,07b13214cb69f2ec007d888450f3d6bc
10491,4ae89aecf964a520c7b021e3,"[{'id': 13099, 'name': 'Chinese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}, {'id': 13315, 'name': 'Noodle Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",Kwong Chow Congee & Noodle House,7.4,07b13214cb69f2ec007d888450f3d6bc
