free_bikes,latitude,longitude,name
11,49.261263,-123.073707,0245 Woodland & 10th
17,49.262242,-123.081459,0246 Glen & Broadway
7,49.262321,-123.09306,0248 St George & Broadway
11,49.264251,-123.073853,0249 7th & Woodland
3,49.266751,-123.073501,0250 Woodland & 4th
0,49.270684,-123.073562,0252 Woodland & Graveley
10,49.2731,-123.0732,0253 Charles & Woodland
0,49.254667,-123.101389,0255 18th & Main
1,49.256694,-123.096579,0256 Prince Edward & 16th
8,49.258352,-123.096337,0257 Prince Edward & 14th
2,49.258817,-123.092797,0258 13th & St George
3,49.26151,-123.089413,0260 10th & Fraser
0,49.263382,-123.088837,0261 8th & Fraser
4,49.261353,-123.085333,0265 St Catherines & 10th
1,49.264466,-123.085183,0266 St Catherines & 7th
1,49.280197,-123.065859,0272 Pender & Victoria
3,49.266725,-123.065925,0273 Victoria & 4th
4,49.261188,-123.066009,0274 Victoria & 10th
8,49.256857,-123.065646,0278 15th & Victoria (Trout Lake)
14,49.283986,-123.065264,0280 Triumph & Victoria
13,49.257985,-123.083366,0281 Windsor & 14th
5,49.257939,-123.089531,0282 14th & Fraser
12,49.256496,-123.075426,0283 15th & Knight
15,49.283236,-123.070443,0285 Commercial & Pandora
8,49.267266,-123.090786,0287 Carolina & Great Northern Way
6,49.265242,-123.095577,0297 6th & Prince Edward
5,49.265213,-123.090785,0298 6th & Carolina
8,49.302577,-123.155616,0103 Stanley Park - Third Beach Parking Lot
14,49.277595,-123.09583,0212 Union & Dunlevy
11,49.279235,-123.087528,0228 Keefer & Hawks
15,49.277333,-123.087359,0219 Hawks & Union
18,49.273103,-123.069892,0235 Charles & Commercial
4,49.261973,-123.09725,0186 10th & Kingsway
16,49.275295,-123.132585,0045 Beach & Hornby
3,49.285871,-123.12105,0002 Burrard Station (Melville & Dunsmuir)
2,49.284893,-123.128685,0300 Bute & Barclay
8,49.263962,-123.112621,0170 8th & Yukon
12,49.277615,-123.091654,0215 Princess & Union
9,49.282214,-123.114101,0012 Dunsmuir & Richards
9,49.266456,-123.100324,0198 5th & Main
16,49.268216,-123.103168,0119 3rd & Quebec
8,49.284554,-123.111031,0124 Richards & Cordova
2,49.280216,-123.117639,0129 Richards & Robson
19,49.266314,-123.116011,0006 Olympic Village Station
4,49.280852,-123.084746,0227 Campbell & Hastings
3,49.285512,-123.1384,0040 Cardero & Davie
29,49.27821,-123.136972,0083 Aquatic Centre
6,49.281301,-123.139108,0084 Beach & Broughton
15,49.283298,-123.142288,0142 Beach & Cardero
1,49.280787,-123.115271,0305 Georgia & Homer
13,49.266476,-123.109389,0165 Columbia & 5th
17,49.290587,-123.13625,0122 Haro & Denman
3,49.312568,-123.144177,0100 Stanley Park - Prospect Point
2,49.262835,-123.152626,0075 Arbutus & 10th
2,49.256825,-123.105234,0133 Ontario & 16th
9,49.275683,-123.124388,0082 Richards & Davie
4,49.263518,-123.09568,0262 8th & Prince Edward
4,49.28691,-123.128818,0310 Jervis & Robson
0,49.282503,-123.124697,0217 Smithe & Burrard
16,49.283749,-123.136133,0087 Broughton & Davie
3,49.262944,-123.148109,0068 Cypress & 10th
13,49.27029,-123.135025,0189 Granville Island
10,49.280427,-123.074082,0225 McLean & Pender
0,49.279259,-123.119145,0058 Richards & Smithe
15,49.285836,-123.127265,0036 Bute & Robson
5,49.272969,-123.164325,0460 Trafalgar & Cornwall
4,49.27247,-123.185643,0410 Alma & Point Grey
8,49.271471,-123.17731,0440 Point Grey & Blenheim
22,49.290112,-123.127062,0035 Hastings & Broughton
17,49.263523,-123.155267,0484 Yew & Broadway
13,49.264928,-123.168068,0452 8th & Macdonald
4,49.264483,-123.173926,0444 Balaclava & Broadway
7,49.264579,-123.18373,0415 Dunbar & Broadway
11,49.263746,-123.069892,0254 Grandview & Commercial
3,49.258761,-123.127071,0202 14th & Oak
9,49.268974,-123.190701,0401 Wallace & 4th
14,49.273011,-123.159663,0470 Balsam & Cornwall
8,49.266924,-123.173849,0443 Balaclava & 6th
12,49.264326,-123.164725,0464 Trafalgar & Broadway
7,49.266636,-123.183661,0414 Dunbar & 6th
10,49.254818,-123.114785,0531 18th & Cambie
1,49.268837,-123.177633,0431 Blenheim & 4th
1,49.255034,-123.120226,0511 18th & Heather
13,49.271044,-123.170661,0450 Point Grey & Bayswater
0,49.252691,-123.101289,0561 20th & Main
16,49.272172,-123.097978,0354 Station & Terminal
15,49.271082,-123.191458,0400 Jericho Beach
3,49.27808,-123.130557,0089 Burrard & Drake
20,49.269969,-123.109623,0173 Columbia & 1st
27,49.287528,-123.142139,0028 Davie & Beach
12,49.28803,-123.142135,0031 Morton & Denman
7,49.259579,-123.114769,0311 13th & Cambie
10,49.289070598986484,-123.13840736946824,0313 Nelson & Denman
14,49.287782,-123.12395,0190 Melville & Bute
1,49.28512,-123.11242,0308 Seymour & Cordova
9,49.247854,-123.153422,0480 Arbutus & Nanton
5,49.265939,-123.1129,0171 Yukon & 6th
3,49.261122,-123.097571,0179 11th & Kingsway
7,49.267725,-123.11311,0144 Wylie & 2nd
2,49.245135,-123.116098,0526 29th & Cambie
12,49.274232,-123.129998,0314 Rolston & Granville
4,49.238105,-123.154966,0482 East Blvd & 37th
9,49.246243,-123.124373,0505 28th & Willow
7,49.249722,-123.104991,0554 Ontario & 23rd
14,49.243375,-123.104978,0557 30th & Ontario
5,49.282087,-123.056909,0642 Franklin & Nanaimo
1,49.283968,-123.061615,0631 Lakewood & Triumph
8,49.287464,-123.060771,0611 Wall & Eton
9,49.285575,-123.061575,0621 Lakewood & Oxford
3,49.251358,-123.115637,0532 22nd & Cambie
1,49.249184,-123.116141,0524 King Edward & Cambie
2,49.245535,-123.120496,0516 Heather & 29th
23,49.289255,-123.132677,0041 Cardero & Robson
7,49.252656,-123.067965,0352 Commercial & 20th
5,49.277527,-123.129464,0196 Hornby & Drake
7,49.259469,-123.145718,210 Burrard & 14th
